Route_Short_Name,Route_Long_Name,Number_of_Bus-Only-Lanes,daily_trips,peak_trips,peak_headway_minutes,non_peak_headway_minutes,Traffic_Volume,Incidents,estimated_riders,priority_metric,incident_to_volume_ratio,volume_to_incident_ratio,normalized_incident_ratio,normalized_volume_ratio,flow_impedance,Cluster,Has_Bus_Lane
92,McKenzie Towne,1,221,52,15.73076923,21.31175735,551740,1309,7820.0,33.35630203006015,0.0023724942907891395,421.17557251908397,4.1189136992867004e-16,0.23064376590330787,19.50217768702031,2,True
35,Bonavista/Canyon Meadows,0,156,44,19.625,30.77037037,245000,313,5709.0,30.201736108251648,0.0012775510204081628,780.2547770700637,2.2179705215419495e-16,0.42728237791932056,7.053262212766999,1,False
29,Queensland,0,110,24,17.8,20.175,90000,158,4172.333333,26.42488332383952,0.0017555555555555536,566.0377358490566,3.0478395061728363e-16,0.3099730458221024,2.8486529456264424,1,False
48,Rundle,1,174,34,13.06666667,13.82089552,0,426,5385.833333,22.572508560812732,4260000000000.0,0.0,0.7395833333333334,0.0,24.738907466560192,2,True
49,Forest Heights,1,197,47,8.0,10.29032258,18000,705,6258.5,24.8503251054321,0.039166666666666454,25.495750708215297,6.799768518518481e-15,0.01396195872116552,4.602870936500216,1,True
117,McKenzie Towne Express,3,12,6,35.0,23.0,1357370,5009,1882.666667,50.955590177750906,0.0036902244782189087,270.9321357285429,6.40663971913005e-16,0.1483675981370592,58.691126036387864,3,True
56,Woodbine,0,240,52,17.29166667,20.2696567,359000,734,8358.833333,32.89998889857495,0.0020445682451253476,488.4353741496599,3.5495976477870617e-16,0.2674765144152899,11.984374869827139,1,False
155,West Dover/Forest Lawn,0,282,68,13.87053571,17.96458583,0,576,9285.0,29.166569135165904,5760000000000.0,0.0,1.0,0.0,33.449790377320824,0,False
8,North Pointe Terminal/Foothills Medical Centre,0,456,126,7.93226601,12.359108,319000,653,14831.83333,35.205611565896675,0.002047021943573667,487.76758409785936,3.5538575409265053e-16,0.2671108198631134,10.653756418182958,1,False
127,Maryvale/Franklin Industrial,0,250,58,15.29487179,17.78888889,18000,455,8144.666667,28.358024227798108,0.02527777777777764,39.473684210526315,4.388503086419729e-15,0.021616541353383457,3.105566085232425,1,False
118,Hidden Valley,0,135,31,12.26666667,16.30612245,0,146,4397.333333,25.68186156999453,1460000000000.0,0.0,0.2534722222222222,0.0,8.478592699807013,1,False
119,Freeport,0,84,20,55.5,53.77777778,34000,832,3171.0,28.518354830821334,0.024470588235294043,40.816326530612244,4.248366013071883e-15,0.02235179786200194,5.701698472877516,1,False
96,McKenzie,0,229,56,16.18910256,18.01317073,438980,959,8132.166667,35.01620400900599,0.0021846097772108062,457.2708333333333,3.7927253076576497e-16,0.25041021825396825,15.022509849795046,1,False
57,Monterey Park/ McCall Wy NE,0,332,70,12.95208333,15.0734127,62000,405,10248.33333,28.96653420537998,0.006532258064516118,152.70935960591132,1.1340725806451595e-15,0.08362655406990381,3.7361459627955664,1,False
33,Vista Heights/Rundle,0,215,52,15.88461538,16.62166761,60000,782,7406.833333,30.026249717099596,0.013033333333333312,76.62835249042146,2.2627314814814777e-15,0.04196314541142127,5.951807094515647,1,False
27,Willowglen,0,82,24,20.0,22.84615385,0,63,2849.333333,25.857723364104196,630000000000.0,0.0,0.109375,0.0,3.658570822519465,1,False
157,West Stoney Industrial,0,376,76,12.56092437,13.72675121,151270,852,11015.5,31.803912781710153,0.005632313082567591,177.3388042203986,9.778321323902067e-16,0.09711410707307541,8.300253093330518,1,False
86,Coventry Hills,0,274,68,13.2,18.98595745,0,165,8725.0,27.456717071719282,1650000000000.0,0.0,0.2864583333333333,0.0,9.581971201836692,1,False
30,Highfield Industrial,0,108,31,13.42857143,16.4,151000,691,3978.5,30.236617083213837,0.004576158940397348,218.20809248554914,7.944720382634284e-16,0.11949490778970548,7.330281700275225,1,False
194,Chaparral Valley/Wolf Willow,0,114,36,25.77083333,32.91111111,238620,488,4064.166667,30.83989776973846,0.002045092615874612,487.97546012269936,3.550508013671201e-16,0.26722465673385914,7.9665196857209715,1,False
83,Parkland,0,136,31,14.42857143,14.76923077,0,117,4407.833333,25.54245698499385,1170000000000.0,0.0,0.203125,0.0,6.794488670393292,1,False
36,Riverbend,0,112,28,16.08333333,19.725,630760,1717,4211.166667,38.88645350155762,0.0027221130065318024,367.1478463329453,4.725890636339935e-16,0.20105715394423193,23.616048017800185,0,False
46,Beddington,0,170,48,10.57142857,15.12068966,0,243,5797.0,27.3662614965628,2430000000000.0,0.0,0.421875,0.0,14.111630315432222,1,False
10,City Hall/Southcentre,0,252,50,19.3,15.81854481,547000,1621,8527.833333,38.191215803248845,0.0029634369287020105,337.2379778051788,5.144855778996546e-16,0.18467794022664552,21.27062337734217,0,False
449,Eau Claire/Parkhill,0,102,40,23.1875,30.30769231,348000,971,4248.666667,35.20608537199318,0.0027902298850574704,358.0246913580247,4.844149106002553e-16,0.19606114050558496,13.17130965687474,1,False
